date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-12-14,10.2513,30053597.570005,99.212052,-0.126197,0.151265,2.06018,-0.422953
2012-12-17,10.3843,30178271.471945,150.294108,-0.131155,0.259567,2.11104,-0.510943
2012-12-18,10.2624,30285955.380135,121.115514,-0.100089,0.207433,2.126038,-0.597414
2012-12-19,11.0049,30439090.24028,178.037305,-0.096608,0.172235,2.081414,-0.630733
2012-12-20,11.0936,30630384.89808,182.992438,-0.018046,0.182595,2.10002,-0.661193
2012-12-21,10.9384,30796549.840255,155.875777,-0.039559,0.125125,2.10485,-0.68323
2012-12-24,10.9162,30956875.961335,120.463041,-0.040709,0.11982,2.111475,-0.6981
2012-12-25,11.4149,31169332.60429,132.435218,-0.045724,0.195382,2.037765,-0.691432
2012-12-26,11.5147,31418565.63787,140.52505,-0.077951,0.197683,2.003179,-0.663681
2012-12-27,11.4925,31657562.366765,120.388476,-0.114845,0.218172,1.9879,-0.630868
2012-12-28,11.7142,31933399.23863,119.232294,-0.118615,0.157668,1.993673,-0.622039
2012-12-31,14.1428,32248702.15737,107.737226,-0.105755,0.143665,1.939884,-0.598265
2013-01-04,13.8757,32532929.646425,95.813163,-0.202319,0.134813,1.77831,-0.530418
2013-01-07,13.5552,32762625.765165,59.227158,-0.204082,0.024304,1.806231,-0.497653
2013-01-08,13.4617,32958580.03703,35.637822,-0.10021,0.007665,1.461583,-0.505984
2013-01-09,13.3282,33085038.877645,26.43824,-0.122699,0.012233,1.488663,-0.531926
2013-01-10,13.5018,33199614.321385,40.358231,-0.090992,0.028979,1.444391,-0.534279
2013-01-11,12.9008,33300003.677625,-10.160992,-0.078233,-0.067926,1.590328,-0.536903
2013-01-14,13.435,33412887.194805,-2.776218,-0.076184,-0.034693,1.493542,-0.534373
2013-01-15,13.8223,33569798.58855,57.971014,-0.042209,-0.002107,1.497895,-0.500796
2013-01-16,13.7155,33658115.69792,42.134005,-0.052299,-0.030953,1.483289,-0.477075
2013-01-17,13.5418,33701711.230725,18.136068,0.018244,-0.046334,1.472347,-0.429937
2013-01-18,13.6086,33784698.43072,4.050926,0.007116,-0.021026,1.398839,-0.38488
2013-01-21,14.2897,33870290.29634,118.124384,-0.028962,0.059318,1.405873,-0.292603
2013-01-22,14.1829,33886957.11196,141.803016,0.041417,0.058683,1.472043,-0.294453
2013-01-23,13.9558,33909209.013515,72.419844,0.070323,0.051637,1.472164,-0.3154
2013-01-24,14.0093,33979782.474445,98.571199,0.046555,0.041161,1.369939,-0.314092
2013-01-25,14.1562,34026144.660375,81.458495,0.050339,0.107037,1.323007,-0.296423
